user_id,hour_0_wt,hour_1_wt,hour_2_wt,hour_3_wt,hour_4_wt,hour_5_wt,hour_6_wt,hour_7_wt,hour_8_wt,hour_9_wt,hour_10_wt,hour_11_wt,hour_12_wt,hour_13_wt,hour_14_wt,hour_15_wt,hour_16_wt,hour_17_wt,hour_18_wt,hour_19_wt,hour_20_wt,hour_21_wt,hour_22_wt,hour_23_wt,session_all_per_day,pid_exposed_all_per_day,pid_watch_all_per_day,coverage_per_2weeks,category_count_unique,age,gender,month_chronological_order,preds_3_label_criteria_label,preds_soft_label,watch_all_per_day_min,midnight_wt_min,morning_wt_min,noon_wt_min,afternoon_wt_min,evening_wt_min,avg_daily_activity,night_activity_ratio,engagement_burstiness,category_count_unique_num,content_diversity_entropy,inactivity_streak_days
31,38.5,794.3333333,90.66666667,0.0,0.0,0.0,0.0,0.0,197.0,1.0,122.0,0.0,3.0,0.0,0.0,0.0,532.0,2103.333333,1262.0,1487.5,1219.0,263.0,1256.5,308.0,2.4,154.1333333,75.66666667,7.5,186,20,0,1,2,1,27,15,5,0,43,96,2.4,0.2570823359288484,1.4786918692244608,186,7.539158811108031,6.5
31,748.1428571,521.1666667,169.5,0.0,0.0,0.0,0.0,0.0,200.5,863.7142857,1104.357143,870.7894737,837.6923077,585.4166667,593.125,548.3333333,976.1818182,803.4545455,424.7272727,497.7692308,791.0,655.3636364,932.0,829.0,7.107142857,401.2,218.5357143,10.0,335,20,0,2,2,1,83,23,50,23,48,68,7.107142857,0.24704691600895706,0.6516969298381871,335,8.388017285345136,4.0
31,491.3076923,897.2,901.3333333,0.0,0.0,0.0,0.0,67.0,0.0,548.5714286,613.3529412,1077.5625,509.0,435.3,153.3333333,442.6666667,733.8571429,1063.555556,974.9333333,953.125,699.2777778,517.0588235,1072.0,393.2,7.4,476.4666667,251.2,10.0,334,20,0,3,2,1,82,38,38,15,39,76,7.4,0.2993582695342627,0.7203983522830132,334,8.383704292474052,4.0
31,0.0,0.0,308.0,0.0,378.0,678.0,0.0,317.4,1174.0,497.0,778.5833333,413.3529412,674.6666667,416.5,411.7272727,477.6363636,694.9375,566.4615385,536.0,547.75,184.9,211.4,439.3333333,554.0,7.071428571,308.8965517,164.4285714,9.666666667,295,20,0,4,2,1,55,22,53,18,35,41,7.071428571,0.16368331329841246,0.642572771392537,295,8.204571144249204,4.333333333000001
31,261.0,490.5,82.25,0.0,0.0,0.0,0.0,1279.0,0.0,307.75,461.3571429,193.8461538,53.0,50.33333333,369.5,582.1428571,357.875,167.8333333,569.0,669.0,490.5714286,80.0,721.8888889,966.875,4.48,190.1111111,104.24,9.0,233,20,0,5,1,1,33,13,37,1,24,58,4.48,0.30936957831761686,0.9757996720921078,233,7.864186144654281,5.0
31,459.8,1434.0,1182.5,0.0,0.0,0.0,0.0,291.2222222,0.0,733.25,343.4,320.3846154,507.375,586.25,875.4,294.8571429,715.5625,1036.615385,732.0,678.15,505.8666667,546.0588235,462.8181818,837.0909091,6.966666667,432.3,197.3,10.0,313,20,0,6,0,0,66,51,28,18,48,62,6.966666667,0.3489076097595596,0.7265284433775248,313,8.290018846932618,4.0
31,1231.5,789.6,140.0,0.0,0.0,0.0,0.0,330.6842105,162.3333333,260.6666667,194.7142857,298.6666667,1067.0,236.75,233.8888889,216.8333333,454.9411765,419.6923077,799.9285714,675.7619048,735.15,586.1052632,314.9473684,584.0,8.133333333,427.2,189.5666667,10.0,306,20,0,7,0,0,60,36,20,21,22,61,8.133333333,0.3143938985924434,0.8183204743584813,306,8.257387842692651,4.0
31,598.375,727.25,274.0,0.0,0.0,0.0,0.0,58.0,1663.0,294.0,324.5,254.0,0.0,60.0,213.75,109.0,51.5,65.75,60.0,266.6666667,418.0,152.0,334.6666667,190.3333333,3.529411765,141.55,59.23529412,6.666666667,166,20,0,8,1,1,18,26,43,1,7,23,3.529411765,0.34745664542756316,1.3686096359270274,166,7.3750394313469245,7.333333333
31,94.25,0.0,0.0,0.0,0.0,0.0,0.0,115.5,0.0,146.0,707.0,0.0,321.5,2.0,0.0,661.3333333,278.3333333,1744.0,0.0,294.0,746.0,235.0,688.3333333,242.5,5.142857143,167.375,64.57142857,4.0,130,20,0,9,2,1,25,1,16,5,44,36,5.142857143,0.16334037100208487,1.5202802494023009,130,7.022367813028454,10.0
31,33.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,573.5,59.0,1149.5,991.0,425.0,0.0,0.0,0.0,218.0,113.0,977.0,701.0,3.0,72.77777778,33.625,4.5,103,20,0,10,0,0,20,1,0,10,42,33,3.0,0.3313788537923208,1.647380376811248,103,6.6865005271832185,9.5
102,1160.352941,972.4444444,180.3333333,0.0,0.0,0.0,1.333333333,296.0,382.2,162.9,457.6923077,315.4166667,422.7333333,327.9166667,378.5714286,397.1,367.375,130.0,171.7272727,42.36363636,128.8,259.2727273,333.7142857,915.8181818,11.07692308,426.4285714,85.73076923,9.333333333,312,57,0,1,2,1,63,38,26,12,21,30,11.07692308,0.4565137439344321,0.9226882398994475,312,8.285402218862249,4.666666666999999
19,939.6666667,1046.583333,1580.2,1404.8125,854.75,1033.666667,987.1666667,2401.923077,2264.666667,2398.363636,2491.1,2503.916667,2271.363636,1792.9,1750.75,739.3529412,1162.0,926.0,837.1666667,1405.222222,476.0,1066.285714,1374.722222,1111.1,9.28,1581.56,972.2,8.333333333,524,19,1,1,2,1,279,114,217,67,76,104,9.28,0.23871083516628433,0.4264520816848395,524,9.03342300153745,5.666666666999999
102,521.1111111,0.0,0.0,0.0,0.0,373.3333333,372.6666667,313.625,317.5714286,248.8333333,447.8461538,298.5263158,287.1764706,401.0588235,819.2941176,417.0,274.0714286,159.8888889,535.6666667,442.5625,498.7058824,675.2666667,945.8636364,949.85,10.6,430.3,96.3,10.0,325,57,0,2,2,1,76,14,33,11,27,67,10.6,0.25987590829431123,0.6808347965597967,325,8.344295907915816,4.0
19,899.8421053,1445.882353,1360.421053,1668.578947,1079.333333,890.1052632,1091.941176,1149.411765,1589.428571,1417.8,2364.0,1600.846154,2002.0,1624.9,2183.454545,1387.666667,1292.0,1570.5,1595.785714,1271.066667,1242.611111,1161.055556,1198.190476,736.4285714,10.53333333,2225.0,1359.5,10.0,591,19,1,2,2,1,282,122,153,60,107,120,10.53333333,0.24801510297740098,0.2723536289904484,591,9.207014320177532,4.0
102,844.125,336.75,0.0,6.0,0.0,318.5,1.0,306.5,365.1111111,527.875,359.2857143,143.2857143,151.3,255.7777778,371.8333333,498.0833333,397.6923077,292.2,572.3333333,563.4545455,739.0,372.8571429,431.9333333,991.7647059,7.533333333,302.8,70.86666667,10.0,280,57,0,3,2,1,50,25,28,6,25,61,7.533333333,0.29509129376948057,0.6873218821189476,280,8.129283016944967,4.0
19,1103.913043,1237.65,995.6666667,1351.052632,862.2941176,1142.888889,1161.777778,1882.555556,1562.307692,1916.25,1470.285714,1026.4,1695.333333,552.0,1263.1,420.3,873.7857143,1214.083333,1378.714286,1861.5,1248.545455,1444.590909,853.2777778,855.3333333,10.36666667,1577.5,973.3,10.0,555,19,1,3,2,1,235,111,150,37,62,127,10.36666667,0.24713300483548228,0.3141581197656805,555,9.116343961237469,4.0
102,29.83333333,0.0,0.0,0.0,0.0,0.0,118.1818182,1.111111111,0.0,173.0,237.0,32.71428571,376.0,128.2727273,193.875,338.6666667,260.7272727,52.33333333,17.08333333,21.33333333,8.75,1.0,96.33333333,596.0,7.346153846,194.0714286,27.61538462,9.333333333,256,57,0,4,0,0,20,0,9,8,14,12,7.346153846,0.26924259204246137,1.3525918303514601,256,8.0,4.666666666999999
19,713.2307692,735.9166667,1017.909091,2021.894737,1343.764706,1662.428571,1377.25,1177.142857,1830.5,1084.166667,1877.6,1910.0,2363.3,1572.090909,1792.0,708.0,852.0,1419.0,1816.0,1064.333333,1225.0,1465.727273,1105.277778,779.1333333,9.857142857,1495.178571,913.6785714,9.333333333,527,19,1,4,2,1,248,124,154,65,79,124,9.857142857,0.234465735878139,0.3329914750118376,527,9.041659151637214,4.666666666999999
102,18.75,0.0,380.0,0.0,0.0,172.6666667,49.33333333,1.25,0.0,86.0,0.0,437.6666667,71.09090909,54.77777778,308.1428571,81.25,372.25,163.5,2.142857143,12.8,54.66666667,157.1111111,336.1666667,253.75,5.444444444,163.3928571,19.55555556,9.333333333,258,57,0,5,2,1,13,9,9,2,15,13,5.444444444,0.32809928554116335,1.1237411265186152,258,8.011227255423254,4.666666666999999
19,990.25,663.0625,907.0416667,1446.076923,1378.357143,1255.066667,1651.0,1607.823529,1587.5,1348.764706,965.0,1170.375,751.3636364,474.6153846,856.4285714,638.9,540.0,499.8461538,740.4375,495.5882353,619.8,1215.8,884.45,508.7333333,12.57142857,983.8214286,580.8214286,9.333333333,449,19,1,5,2,1,207,110,138,20,42,74,12.57142857,0.29220078773645397,0.3957373803843507,449,8.810571634741146,4.666666666999999
102,201.5,0.0,0.0,0.0,1031.5,121.5,11.625,21.5,235.6666667,281.25,179.1,190.2,40.25,186.4545455,199.75,67.3,108.75,187.9090909,70.72727273,1.545454545,98.91666667,86.77777778,250.0,178.0,8.206896552,230.8666667,24.62068966,10.0,298,57,0,6,2,1,16,22,15,3,9,11,8.206896552,0.4429070571546581,1.2940420493387235,298,8.219168520462162,4.0
19,284.3333333,724.3333333,931.9047619,1261.0,1113.052632,1860.066667,1754.666667,1764.842105,1093.909091,1196.0,1781.333333,738.0,946.5454545,1377.73913,974.5,918.1428571,802.6428571,870.1176471,1289.736842,1046.0,1203.875,909.3529412,1037.888889,895.5,9.933333333,1121.766667,692.8333333,10.0,469,19,1,6,2,1,212,102,138,38,59,106,9.933333333,0.23334827697195634,0.33389177080991533,469,8.873444112515376,4.0
102,315.5,2013.0,0.0,0.0,0.0,370.0,94.75,74.25,4.375,116.5833333,110.75,115.0,16.0,13.05,68.0,218.75,116.0,7.533333333,8.583333333,0.2,8.833333333,41.0,64.125,238.8666667,9.035714286,191.5333333,13.82142857,10.0,247,57,0,7,2,1,11,44,8,0,6,6,9.035714286,0.6553906246841724,2.3784249645136692,247,7.948367231584678,4.0
19,601.2857143,772.9444444,735.4090909,679.5,667.7894737,807.5,826.047619,1354.222222,1782.666667,1288.0,1663.333333,0.0,1005.916667,1797.368421,512.2857143,1031.666667,765.5,581.4761905,909.5217391,1196.181818,865.0,551.7647059,427.6,485.875,12.66666667,1053.7,611.5333333,10.0,461,19,1,7,2,1,178,71,115,46,48,73,12.66666667,0.20509800378278242,0.4867660365392105,461,8.848622940429339,4.0
102,261.75,0.0,0.0,0.0,0.0,445.5,53.45454545,0.2,28.0,166.0,233.8571429,31.71428571,0.857142857,91.375,41.55555556,132.6153846,217.7,13.5,20.5,0.0,0.666666667,0.0,74.875,119.5,8.421052632,193.6315789,12.42105263,6.333333333,202,57,0,8,2,1,11,11,8,1,6,3,8.421052632,0.23589165879274485,1.372898441544515,202,7.658211482751795,7.666666667
